"147","三通國際旅運有限公司","澳門新口岸宋玉生廣場578號中富大廈地下P舖","+853 2843 7426"
"19","大光世界旅遊有限公司","澳門宋玉生廣場258號建興龍廣場19樓P座","+853 2859 1122"
"128","中亞國際旅遊有限公司","澳門宋玉生廣場181-187號光輝商業中心14樓H","+853 2826 6991, +853 2826 6992, +853 2826 5292"
"146","中信國際旅遊有限公司","澳門宋玉生廣場258號建興龍廣場19樓S及T座","+853 2842 0870"
"113","天馬旅行社有限公司","澳門友誼大馬路201號、賈羅布大馬路60號及佛山街31,51號新建業商業中心8樓O及P","+853 2843 6311"
"11597","世紀國際旅行社","澳門北京街202A-246號澳門金融中心12樓F座","+853 2870 2335"
"99","永傑旅遊有限公司","澳門宋玉生廣場249、255及263號中土大廈11樓D","+853 2843 9225"
"29","立基旅遊發展有限公司","澳門新口岸宋玉生廣場180號東南亞商業中心19樓J座","+853 2875 1033"
"109","好美旅行社有限公司","澳門友誼大馬路1023號南方大廈三樓N座","+853 2872 7546"
"12579","好運旅行社有限公司","澳門宋玉生廣場181及187號光輝(集團)商業中心17樓V","+853 2871 7233"
"158","行家假期-長暉國際旅遊有限公司","澳門宋玉生廣場249, 255及263號中土大廈15樓L","+853 2826 2888"
"72","東方國際旅遊","澳門北京街230、244及246號澳門金融中心8樓L室","+853 2878 8006"
"179","東瀛遊","澳門南灣大馬路730-804號中華廣場10樓M座","+853 2871 7200"
"179","東瀛遊","澳門南灣大馬路730-804號中華廣場地下""B""舖","+853 2871 7200"
"10729","金光旅遊","路氹填海區，路氹連貫公路以西，望德聖母灣大馬路以南，澳門威尼斯人酒店大運河購物中心2442c號舖","+853 8118 2933"
"11355","金時代旅遊有限公司","澳門宋玉生廣場335及341號獲多利中心15樓S","+853 2872 2866"
"12531","長江旅行社","澳門宋玉生廣場249、255及263號中土大廈11樓F","+853 2855 5040"
"11947","長興國際旅行社有限公司","澳門新口岸北京街230-246號澳門金融中心10樓F","+853 2870 3138"
"14","南華旅遊有限公司","澳門友誼大馬路1047號南方大廈5樓O","+853 2870 6620"
"10660","威華旅遊有限公司","澳門關閘廣場新寶花園292號地下X號","+853 2842 3939"
"10857","星王國際旅遊有限公司","澳門巴波沙大馬路新城市商業中心Z、BI、BJ及BK舖","+853 2856 3003"
"162","星星旅行社有限公司","澳門福華巷18-B號名福樓地下B座","+853 6565 7339"
"180","活力旅行社有限公司","澳門外港客運碼頭2545鋪","+853 6387 6388"
"11588","盈莉旅行社有限公司","澳門北京街174號廣發商業中心5樓C","+853 2870 5196"
